xmin,ymin,xmax,ymax,confidence,class,timestamp,classifier
0,213.1433716,93.18643188,404.6816406,643.894043,0.897538662,0,1,pruned_quant-aggressive_98
1,374.2714233,243.601181,454.1021118,530.4315796,0.7159537673,0,1,pruned_quant-aggressive_98
2,214.2550049,94.02371216,396.973877,644.4493408,0.9075680971,0,2,pruned_quant-aggressive_98
3,376.0671997,245.2669525,454.6643066,532.3115234,0.718352735,0,2,pruned_quant-aggressive_98
4,214.9375916,92.36071777,399.0776672,643.8994751,0.9010861516,0,3,pruned_quant-aggressive_98
5,378.088562,244.5165558,455.9905396,531.890625,0.7470380664,0,3,pruned_quant-aggressive_98
6,215.5038147,91.10385132,401.4364319,643.7873535,0.9041706324,0,4,pruned_quant-aggressive_98
7,379.2259521,242.4337158,456.8190918,528.1929932,0.677844286,0,4,pruned_quant-aggressive_98
8,215.4212036,89.19259644,394.6315308,641.0383301,0.9087773561,0,5,pruned_quant-aggressive_98
9,377.6647644,238.5613708,457.5301208,521.8475342,0.6819838285,0,5,pruned_quant-aggressive_98
10,299.8840942,336.2970886,405.5297852,518.1174927,0.6138413548,16,5,pruned_quant-aggressive_98
11,215.2799072,88.83935547,396.1950684,641.3615112,0.9085872769,0,6,pruned_quant-aggressive_98
12,377.3404541,236.9506226,457.3363037,521.0623779,0.7252178192,0,6,pruned_quant-aggressive_98
13,216.0422211,89.2026062,391.2967529,640.1774902,0.9098021388,0,7,pruned_quant-aggressive_98
14,301.8137512,328.7989197,410.063385,517.3707275,0.8740445375,16,7,pruned_quant-aggressive_98
15,378.6481323,236.561142,457.7680664,519.7890625,0.725759685,0,7,pruned_quant-aggressive_98
16,217.0832062,87.95553589,392.2805176,641.0117188,0.9062975645,0,8,pruned_quant-aggressive_98
17,303.1680603,329.0243225,413.9266663,516.9466553,0.880384326,16,8,pruned_quant-aggressive_98
18,379.06427,235.4212494,459.3074951,519.1757813,0.7569631934,0,8,pruned_quant-aggressive_98
19,218.0049896,88.52197266,392.1097412,640.8013916,0.9155883789,0,9,pruned_quant-aggressive_98
20,304.3416443,330.047821,414.6697083,514.9664307,0.8235058784,16,9,pruned_quant-aggressive_98
21,378.6424561,235.5204773,460.2819824,519.2070313,0.7671897411,0,9,pruned_quant-aggressive_98
22,218.1721497,90.78234863,393.4981995,641.2483521,0.9132454991,0,10,pruned_quant-aggressive_98
23,305.1073608,331.6952515,411.0515137,515.8182373,0.7367107868,16,10,pruned_quant-aggressive_98
24,378.0963135,237.4213867,460.7194824,521.1051025,0.7206014991,0,10,pruned_quant-aggressive_98
25,218.0591736,92.13320923,394.5857239,641.8636475,0.912658751,0,11,pruned_quant-aggressive_98
26,378.5184326,239.174469,460.3071289,524.7192383,0.7371016741,0,11,pruned_quant-aggressive_98
27,305.6474609,332.3403015,409.479126,514.0643311,0.691437006,16,11,pruned_quant-aggressive_98
28,218.0059509,92.77166748,396.2502136,642.6452026,0.9092826843,0,12,pruned_quant-aggressive_98
29,306.0033875,334.610199,410.2558289,512.4519043,0.7382900715,16,12,pruned_quant-aggressive_98
30,380.2521973,242.5307465,459.4919434,528.1321411,0.7107432485,0,12,pruned_quant-aggressive_98
31,218.0545807,93.37966919,394.6890869,642.458252,0.9142007828,0,13,pruned_quant-aggressive_98
32,306.7671509,339.5990295,410.4949341,515.4239502,0.7932301164,16,13,pruned_quant-aggressive_98
33,380.4186401,244.3498077,459.8748169,531.1152344,0.741922617,0,13,pruned_quant-aggressive_98
34,217.6051636,93.12692261,392.9456177,642.7021484,0.9154689312,0,14,pruned_quant-aggressive_98
35,383.3050842,248.5106201,461.2778625,533.4099121,0.7500175238,0,14,pruned_quant-aggressive_98
